Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,143439,6357,82586,54496,0,4.43,57.58,7.7,38928341,3685.0,137853,5586,4.05
Albania,132875,2456,130139,280,22,1.85,97.94,1.89,2877800,46172.0,132686,189,0.14
Algeria,162155,4063,110577,47515,1287,2.51,68.19,3.67,43851043,3698.0,153309,8846,5.77
Andorra,14498,127,13988,383,0,0.88,96.48,0.91,77265,187640.0,14273,225,1.58
Angola,41780,984,35474,5322,44,2.36,84.91,2.77,32866268,1271.0,40805,975,2.39
Antigua and Barbuda,1280,43,1229,8,0,3.36,96.02,3.5,97928,13071.0,1268,12,0.95
Argentina,4846615,103721,4493984,248910,7506,2.14,92.72,2.31,45195777,107236.0,4756378,90237,1.9
Armenia,228798,4587,219062,5149,166,2.0,95.74,2.09,2963234,77212.0,227430,1368,0.6
Australia,33082,918,24001,8163,164,2.77,72.55,3.82,50919400,650.0,32016,1066,3.33
Austria,656270,10731,640951,4588,332,1.64,97.67,1.67,9006400,72867.0,653735,2535,0.39
Azerbaijan,340443,5006,332056,3381,386,1.47,97.54,1.51,10139175,33577.0,338438,2005,0.59
Bahamas,13781,274,12158,1349,0,1.99,88.22,2.25,393248,35044.0,13404,377,2.81
Bahrain,268541,1383,266321,837,128,0.52,99.17,0.52,1701583,157818.0,267882,659,0.25
Bangladesh,1164635,19274,998923,146438,11291,1.65,85.77,1.93,164689383,7072.0,1103989,60646,5.49
Barbados,4345,48,4098,199,6,1.1,94.32,1.17,287371,15120.0,4258,87,2.04
Belarus,440708,3394,434882,2432,880,0.77,98.68,0.78,9449321,46639.0,434362,6346,1.46
Belgium,1113465,25220,0,1088245,0,2.27,0.0,7.502408376963351,23021022,48367.0,1103413,10052,0.91
Belize,13917,332,13219,366,0,2.39,94.98,2.51,397621,35001.0,13683,234,1.71
Benin,8324,107,8125,92,0,1.29,97.61,1.32,12123198,687.0,8244,80,0.97
Bhutan,2486,2,2239,245,4,0.08,90.06,0.09,771612,3222.0,2421,65,2.68
Bolivia,468423,17651,400682,50090,448,3.77,85.54,4.41,11673029,40129.0,462154,6269,1.36
Bosnia and Herzegovina,205420,9675,188460,7285,0,4.71,91.74,5.13,3280815,62612.0,205285,135,0.07
Botswana,97657,1375,84189,12093,0,1.41,86.21,1.63,2351625,41527.0,86133,11524,13.38
Brazil,19688663,549924,17702038,1436701,18129,2.79,89.91,3.11,422706534,46578.0,19376574,312089,1.61
Brunei,321,3,269,49,0,0.93,83.8,1.12,437483,734.0,283,38,13.43
Bulgaria,423686,18194,398151,7341,57,4.29,93.97,4.57,6948445,60976.0,422965,721,0.17
Burkina Faso,13538,169,13355,14,0,1.25,98.65,1.27,20903278,648.0,13536,2,0.01
Burma,269525,7111,185402,77012,4998,2.64,68.79,3.84,54409800,4954.0,229521,40004,17.43
Burundi,6128,8,773,5347,0,0.13,12.61,1.03,11890781,515.0,5802,326,5.62
Cabo Verde,33577,298,32739,540,36,0.89,97.5,0.91,555988,60392.0,33302,275,0.83
Cambodia,72923,1283,65264,6376,819,1.76,89.5,1.97,16718971,4362.0,67181,5742,8.55
Cameroon,82003,1334,35261,45408,0,1.63,43.0,3.78,26545864,3089.0,81467,536,0.66
Canada,1433792,26506,1402035,5251,267,1.85,97.79,1.89,75750184,18928.0,1430740,3052,0.21
Central African Republic,7147,98,6859,190,0,1.37,95.97,1.43,4829764,1480.0,7142,5,0.07
Chad,4969,174,4782,13,0,3.5,96.24,3.64,16425859,303.0,4964,5,0.1
Chile,1609177,35026,1563280,10871,1428,2.18,97.15,2.24,36692988,43855.0,1599879,9298,0.58
China,104642,4848,98979,815,80,4.63,94.59,4.9,2809352660,37.0,104290,352,0.34
Colombia,4727846,118868,4487973,121005,11048,2.51,94.93,2.65,99141018,47688.0,4639466,88380,1.9
Comoros,4021,147,3862,12,7,3.66,96.05,3.81,869595,4624.0,4011,10,0.25
Congo (Brazzaville),13117,176,11759,1182,0,1.34,89.65,1.5,89561403,146.0,12933,184,1.42
Congo (Kinshasa),48128,1023,29497,17608,342,2.13,61.29,3.47,5518087,8722.0,46009,2119,4.61
Costa Rica,398608,4941,322423,71244,0,1.24,80.89,1.53,5094114,78249.0,389798,8810,2.26
Cote d'Ivoire,49592,324,48833,435,38,0.65,98.47,0.66,26378274,1880.0,49196,396,0.8
Croatia,362621,8245,353367,1009,125,2.27,97.45,2.33,4105268,88331.0,361595,1026,0.28
Cuba,332968,2351,288414,42203,8853,0.71,86.62,0.82,11326616,29397.0,281887,51081,18.12
Cyprus,97718,401,39061,58256,727,0.41,39.97,1.03,1207361,80935.0,91196,6522,7.15
Czechia,1672409,30357,1638881,3171,69,1.82,98.0,1.85,10708981,156169.0,1671027,1382,0.08
Denmark,312582,2543,297881,12158,647,0.81,95.3,0.85,5897840,52999.0,307103,5479,1.78
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,35102.0,712,0,0.0
Djibouti,11635,155,11472,8,1,1.33,98.6,1.35,988002,11776.0,11627,8,0.07
Dominica,209,0,196,13,0,0.0,93.78,0.0,71991,2903.0,206,3,1.46
Dominican Republic,340053,3937,302952,33164,384,1.16,89.09,1.3,10847904,31347.0,337575,2478,0.73
Ecuador,480720,30797,443880,6043,0,6.41,92.34,6.94,17643060,27247.0,476065,4655,0.98
Egypt,284024,16487,227612,39925,39,5.8,80.14,7.24,102334403,2775.0,283636,388,0.14
El Salvador,84691,2558,75724,6409,0,3.02,89.41,3.38,6486201,13057.0,82852,1839,2.22
Equatorial Guinea,8863,123,8637,103,0,1.39,97.45,1.42,1402985,6317.0,8828,35,0.4
Eritrea,6495,33,6282,180,0,0.51,96.72,0.53,3546427,1831.0,6402,93,1.45
Estonia,132458,1271,128396,2791,90,0.96,96.93,0.99,1326539,99852.0,131848,610,0.46
Eswatini,23005,752,19962,2291,318,3.27,86.77,3.77,1160164,19829.0,21132,1873,8.86
Ethiopia,278543,4369,262862,11312,97,1.57,94.37,1.66,114963583,2423.0,277696,847,0.31
Fiji,23139,186,5928,17025,626,0.8,25.62,3.14,896444,25812.0,17514,5625,32.12
Finland,102972,980,46000,55992,360,0.95,44.67,2.13,5540718,18585.0,100156,2816,2.81
France,6056388,111806,410554,5534028,15242,1.85,6.78,27.23,68151730,88866.0,5929929,126459,2.13
Gabon,25325,163,25081,81,0,0.64,99.04,0.65,2225728,11378.0,25260,65,0.26
